Frame,Tiempo,EasyOCR,CRNN_Custom
77,00:00:03.080,,10MZ
79,00:00:03.160,,10MZ
80,00:00:03.200,,10MZ
81,00:00:03.240,,10MZ
82,00:00:03.280,,10MZ
83,00:00:03.320,,10MZ
84,00:00:03.360,,10MZ
85,00:00:03.400,,10MZ
85,00:00:03.400,,10MZ
86,00:00:03.440,,50MZ
86,00:00:03.440,,10MZ
87,00:00:03.480,,50MZ
87,00:00:03.480,,10MZ
88,00:00:03.520,,10MZ
88,00:00:03.520,,10MZ
89,00:00:03.560,,50MZ
89,00:00:03.560,,10MZ
90,00:00:03.600,,50MZ
90,00:00:03.600,,10MZ
91,00:00:03.640,,10MZ
91,00:00:03.640,,10MZ
92,00:00:03.680,,10MZ
92,00:00:03.680,,10MZ
92,00:00:03.680,,10MZ
93,00:00:03.720,,10MZ
93,00:00:03.720,,10MZ
94,00:00:03.760,,10MZ
94,00:00:03.760,,10MZ
95,00:00:03.800,,10MZ
95,00:00:03.800,,10MZ
96,00:00:03.840,,10MZ
96,00:00:03.840,,10MZ
97,00:00:03.880,,10MZ
97,00:00:03.880,,10MZ
98,00:00:03.920,,10MZ
98,00:00:03.920,,10MZ
99,00:00:03.960,,10MZ
99,00:00:03.960,,10MZ
100,00:00:04.000,,10MZ
100,00:00:04.000,,10MZ
101,00:00:04.040,,10MZ
101,00:00:04.040,,10MZ
102,00:00:04.080,,10MZ
102,00:00:04.080,,10MZ
103,00:00:04.120,,10MZ
103,00:00:04.120,,10MZ
104,00:00:04.160,,10MZ
104,00:00:04.160,,10MZ
105,00:00:04.200,,10MZ
105,00:00:04.200,,10MZ
106,00:00:04.240,,10MZ
106,00:00:04.240,,10MZ
107,00:00:04.280,,10MZ
107,00:00:04.280,,10MZ
108,00:00:04.320,,10MZ
108,00:00:04.320,,10MZ
109,00:00:04.360,,10MZ
109,00:00:04.360,,10MZ
110,00:00:04.400,,10MZ
110,00:00:04.400,,10MZ
111,00:00:04.440,,10MZ
111,00:00:04.440,,10MZ
112,00:00:04.480,,10MZ
112,00:00:04.480,,10MZ
112,00:00:04.480,,10MZ
113,00:00:04.520,,10MZ
113,00:00:04.520,,10MZ
114,00:00:04.560,,10MZ
114,00:00:04.560,,10MZ
115,00:00:04.600,,10MZ
115,00:00:04.600,,10MZ
116,00:00:04.640,,10MZ
116,00:00:04.640,,10MZ
117,00:00:04.680,,10MZ
117,00:00:04.680,,10MZ
118,00:00:04.720,,10MZ
118,00:00:04.720,,10MZ
119,00:00:04.760,,10MZ
119,00:00:04.760,,10MZ
120,00:00:04.800,,10MZ
120,00:00:04.800,,10MZ
121,00:00:04.840,,10MZ
122,00:00:04.880,,10MZ
123,00:00:04.920,,10MZ
124,00:00:04.960,,10MZ
125,00:00:05.000,,10MZ
126,00:00:05.040,,10MZ
132,00:00:05.280,,10MZ
133,00:00:05.320,,10MZ
133,00:00:05.320,,10MZ
134,00:00:05.360,,10MZ
134,00:00:05.360,,10MZ
135,00:00:05.400,,10MZ
135,00:00:05.400,,10MZ
136,00:00:05.440,,10MZ
136,00:00:05.440,,10MZ
137,00:00:05.480,,10MZ
137,00:00:05.480,,10MZ
138,00:00:05.520,,10MZ
138,00:00:05.520,,10MZ
139,00:00:05.560,,10MZ
139,00:00:05.560,,10MZ
140,00:00:05.600,,10MZ
140,00:00:05.600,,10MZ
141,00:00:05.640,,10MZ
141,00:00:05.640,,10MZ
142,00:00:05.680,,10MZ
142,00:00:05.680,,10MZ
143,00:00:05.720,,10MZ
143,00:00:05.720,,10MZ
144,00:00:05.760,,10MZ
144,00:00:05.760,,10MZ
780,00:00:31.200,,10MZ
794,00:00:31.760,ZI,10MZ
798,00:00:31.920,,10MZ
799,00:00:31.960,,10MZ
801,00:00:32.040,,10MZ
1014,00:00:40.560,,10MZ
1019,00:00:40.760,,10MZ
1020,00:00:40.800,,10MZ
1053,00:00:42.120,,10MZ
1059,00:00:42.360,,10MZ
1305,00:00:52.200,,10MZ
1306,00:00:52.240,,10MZ
1360,00:00:54.400,22,10MZ
1676,00:01:07.040,BGD,10MZ
1683,00:01:07.320,E,10MZ
1685,00:01:07.400,,10MZ
1689,00:01:07.560,,10MZ
1725,00:01:09.000,,10MZ
1800,00:01:12.000,E,10MZ
1802,00:01:12.080,,10MZ
1804,00:01:12.160,,10MZ
1805,00:01:12.200,,10MZ
1806,00:01:12.240,,10MZ
1807,00:01:12.280,,10MZ
1808,00:01:12.320,,10MZ
1811,00:01:12.440,,10MZ
1812,00:01:12.480,,10MZ
1825,00:01:13.000,,10MZ
1947,00:01:17.880,,10MZ
1948,00:01:17.920,,10MZ
1948,00:01:17.920,,10MZ
1949,00:01:17.960,,10MZ
1950,00:01:18.000,,10MZ
1951,00:01:18.040,,10MZ
1952,00:01:18.080,,10MZ
1953,00:01:18.120,,10MZ
1954,00:01:18.160,,10MZ
1955,00:01:18.200,,10MZ
1956,00:01:18.240,,10MZ
1957,00:01:18.280,,10MZ
1958,00:01:18.320,,10MZ
1959,00:01:18.360,,10MZ
1960,00:01:18.400,,10MZ
1961,00:01:18.440,,10MZ
1962,00:01:18.480,,10MZ
1963,00:01:18.520,,10MZ
1964,00:01:18.560,,10MZ
1965,00:01:18.600,,10MZ
1966,00:01:18.640,,10MZ
1967,00:01:18.680,,10MZ
1968,00:01:18.720,,10MZ
1971,00:01:18.840,,10MZ
2138,00:01:25.520,1770JYC,10MZ
2140,00:01:25.600,TDG,10MZ
2142,00:01:25.680,17T,10MZ
2143,00:01:25.720,JD,10MZ
2144,00:01:25.760,122,10MZ
2145,00:01:25.800,7,10MZ
2145,00:01:25.800,1,10MZ
2146,00:01:25.840,V,10MZ
2147,00:01:25.880,UYE,10MZ
2147,00:01:25.880,7,10MZ
2148,00:01:25.920,42,10MZ
2149,00:01:25.960,12,50MZ
2627,00:01:45.080,1965KBP,10MZ
2628,00:01:45.120,1965KBP,10MZ
2629,00:01:45.160,1965KBP,10MZ
2629,00:01:45.160,1965KBP,10MZ
2630,00:01:45.200,1965KBP,10MZ
2632,00:01:45.280,1965KBP,10MZ
2633,00:01:45.320,1965KBP,10MZ
2634,00:01:45.360,1965KBP,10MZ
2636,00:01:45.440,51D,10MZ
2637,00:01:45.480,19651EC,10MZ
2638,00:01:45.520,U,10MZ
2639,00:01:45.560,,10MZ
2659,00:01:46.360,,10MZ
2743,00:01:49.720,,10MZ
2744,00:01:49.760,,10MZ
2745,00:01:49.800,,10MZ
2746,00:01:49.840,,10MZ
2747,00:01:49.880,,10MZ
2748,00:01:49.920,,10MZ
2754,00:01:50.160,,10MZ
2756,00:01:50.240,,10MZ
2757,00:01:50.280,,10MZ
2758,00:01:50.320,,10MZ
2761,00:01:50.440,,10MZ
2768,00:01:50.720,,10MZ
2770,00:01:50.800,,10MZ
2775,00:01:51.000,,10MZ
2776,00:01:51.040,,10MZ
2777,00:01:51.080,,10MZ
2778,00:01:51.120,,10MZ
2779,00:01:51.160,,10MZ
2780,00:01:51.200,,10MZ
2781,00:01:51.240,,10MZ
2782,00:01:51.280,,10MZ
2783,00:01:51.320,,10MZ
2784,00:01:51.360,,10MZ
2785,00:01:51.400,,10MZ
2786,00:01:51.440,,10MZ
2787,00:01:51.480,,10MZ
2788,00:01:51.520,,10MZ
2789,00:01:51.560,,10MZ
2790,00:01:51.600,,10MZ
2791,00:01:51.640,,10MZ
2792,00:01:51.680,,10MZ
2793,00:01:51.720,,10MZ
2794,00:01:51.760,,10MZ
2795,00:01:51.800,,10MZ
2796,00:01:51.840,,10MZ
2797,00:01:51.880,,10MZ
2798,00:01:51.920,,10MZ
2799,00:01:51.960,,10MZ
2800,00:01:52.000,,10MZ
2801,00:01:52.040,,10MZ
2802,00:01:52.080,,10MZ
2803,00:01:52.120,,10MZ
2804,00:01:52.160,,10MZ
2805,00:01:52.200,,10MZ
2806,00:01:52.240,,10MZ
2807,00:01:52.280,,10MZ
2808,00:01:52.320,,10MZ
2809,00:01:52.360,,10MZ
2810,00:01:52.400,,10MZ
2811,00:01:52.440,,10MZ
2812,00:01:52.480,,10MZ
2813,00:01:52.520,,10MZ
2814,00:01:52.560,,10MZ
2815,00:01:52.600,,10MZ
2817,00:01:52.680,,10MZ
2821,00:01:52.840,,10MZ
2823,00:01:52.920,,10MZ
2824,00:01:52.960,,10MZ
2825,00:01:53.000,,10MZ
2827,00:01:53.080,,10MZ
2828,00:01:53.120,,10MZ
2829,00:01:53.160,,10MZ
2830,00:01:53.200,,10MZ
2831,00:01:53.240,,10MZ
2832,00:01:53.280,,10MZ
